;EFECTIVO;INVENTARIO;EQ_OFICINA;EQ_TRANSPORTE;TERRENOS_Y_CONSTRUCCIONES;CONTRIBUCIONES_X_PAGAR;ANTICIPOS_CTE;CAP_SOCIAL;UTILIDADES_ACUMULADAS;UTILIDAD_O_PERDIDA;TOTAL_VENTAS;TOTAL_COMPRAS;UTILIDAD_BRUTA;TOTAL_GASTOS;OBJETIVO
0;0;0;1237449438;2947056664;8812519508;2396715009;1,25791E+16;2356497733;-6009930409;-6816681404;41309820,53;68725724,78;6,29839E+15;15057615,24;1
1;7437098344;0;1335530669;4000109174;8491850953;9480920697;6708985232;0;-7,98096E+15;-3342451935;0;35882739,46;0;10851563,46;1
2;5,26999E+16;3983351701;15330613,03;3478673115;-13932286,83;6108146399;10099371,73;1444426243;0;-4026343953;0;329233683,5;0;8680734851;1
3;9092134473;9577822891;1068692409;1302021086;1379063945;0;2378927851;1236065779;0;-4567434952;76310275,6;0;0;13232671,44;1
4;9688668993;3898282548;4168733265;0;-6297178548;1166477396;1798064624;3657339603;7702845004;-7110320155;62901614,29;36142598,75;6850340403;11000477,09;1
5;1773585004;61142290,58;7232787994;1027126887;4234019828;7831397306;2590328307;7179441092;18689654,33;-2,96968E+16;396207900,9;217255661,2;58571232,04;58525101,92;1
6;0;2088919865;9368769513;1334773611;-8,60228E+15;2531677528;4966997762;5281061374;6189959378;-3242946207;39979300,88;35887817,17;2835825963;3404082712;1
7;2012121618;36296946,44;13835507,31;0;6183587529;3228281186;9338428196;8995960551;13269904,62;0;208361113,3;127293927,7;45965630,47;35826349,54;1
8;2,08301E+16;4777793085;1029408,62;4285786139;-4593900,88;0;1199689,86;10939232,69;-4110542445;4717089116;11514028,32;14801001,16;6585251031;14573571,29;1
9;8946773106;0;12785040,76;3,7734E+16;3124556798;1956563051;2,05512E+16;1329429546;19204093,6;-2650300767;469227170,9;235738138,6;51854423,66;41550254,51;1
10;4260904436;2396538779;7357993932;1067854412;-7103518802;6,5044E+16;0;0;8084576,99;-7,65916E+15;54878600,4;17642287,13;5304115,47;7,16319E+15;1
11;8,45024E+15;26468120,81;1,34666E+16;2911755931;0;2004771846;2665407047;3055945403;4207408246;-5377807141;98465064,61;169881307;35902570,89;31364780,74;1
12;6120187449;0;8024564139;2485276953;4126758463;1026081694;3868500955;5106132277;-9134566,2;4091835666;0;11285216,19;8,35514E+15;9415842617;1
13;3105407709;0;0;3822430422;0;0;0;1968720052;-8481412565;-6,81089E+15;6,92291E+16;5971837307;1801355174;2136873294;1
14;4308351791;13194432,17;6626222449;3033468048;0;5990057876;10764559,57;0;17751668,26;-2,35117E+16;235816492,2;0;46477652,07;29852990,61;1
15;0;12776394,47;3687536718;7742579278;8583450376;1937415542;2930978969;7329381796;-13428085,28;-4,51428E+16;23729436,4;26857402,85;0;19455153,75;1
16;2142342538;41052727,02;0;6330874902;5,42703E+15;6909460514;5,83026E+15;11983179,4;6116364001;-3,24929E+16;155048701,8;58043486,53;14142996,19;18530112,35;1
17;7403151793;5297630377;982012965;1312071803;3291607,29;1017771515;8622122212;3,40889E+16;-5152677176;-8796811798;0;73258806,69;15881884,71;20449692,75;1
18;1899606785;0;1200693751;5326105636;-12653301,87;2562409733;3811890033;1,10258E+16;6777020307;0;31086289,83;33127160,17;7,06835E+15;12134861,71;1
19;11965664,96;58571006,64;3207225,7;2230173899;6148702501;8023350399;6928451568;0;10852722,35;-1616714281;388437658,6;461396531,1;72914673,57;0;1
20;20589302,89;5169725482;323165772,6;3441713293;0;3812367,84;14593898,68;1,41163E+16;24599798,72;-6208035345;0;1018728273;21419962,52;26296978;1
21;4380372152;8858917671;8414316274;2336603607;-1195022662;5037209793;1603489114;769113782;-3530653018;-4635204841;43414141,21;55287629,38;12339588,83;7,61212E+15;1
22;2403650982;0;7,17753E+15;5057988163;0;7713792511;4491598701;2547999405;11370355,98;0;86064693,56;174434663,5;13761621,3;24451679,41;1
23;1339218225;3183244478;1216726908;2873319632;0;4711756704;1027795459;10965749,8;-3575567613;7359839037;7,2609E+15;6912429675;0;6070173257;1
24;9539510315;2496878381;0;0;-10880101,13;8,14639E+15;7617106431;2073766407;0;2593671607;0;73314264,47;19514886,82;22766954,39;1
25;5,71557E+16;1429742208;0;6585740359;6695956281;0;535209041;6008081786;2064578763;-3238683854;0;0;2,71617E+16;3,47276E+16;1
26;2398005776;6799360109;12462877,88;2818744,16;-3938486068;492840,47;9879314972;4191117324;13540780,38;-8597892347;182867869,2;154401141,5;32916471,73;34989061,79;1
27;2723236353;3,06579E+16;3176916341;1525805642;-7,17888E+15;1239718476;1,8118E+16;2467541289;8397968557;0;0;130640663,8;9,03225E+15;0;1
28;5662152335;9542148122;9446926311;2077571768;4645544664;842094702;1,4392E+16;6979853,54;-15125006,44;1108701973;1298204117;0;4123377205;0;1
29;1165368633;18110031,51;6988079665;9,08658E+15;0;0;2939802498;3428242075;16096851,22;-3609689595;179771705,4;0;29083006,58;24359612,55;1
30;2352538214;5649665801;1,4059E+16;1232940547;-4813215852;0;3243509768;3,0836E+16;1864665,27;-2430921392;80732549,55;166654178,1;23715817,21;18898579,7;1
31;0;10358860,7;5055585119;960757225;8,22644E+15;2748840337;0;3,04869E+16;-4594941972;-1901850442;12612056,54;2850707693;2966227,45;7463603,74;1
32;6302608112;372473085;1115902994;0;0;1638031134;5363826228;6108226967;-7907901627;1092697064;16840928,58;1563491,07;2659886273;0;1
33;3920712456;0;8565172283;2050172016;7085220384;2016178088;4322440909;5778065583;0;-1444813325;23730936,87;21806484,42;13068470,18;23206747,37;1
34;1350493187;3043412176;0;7154014777;-7408140216;3674176881;4375903318;5398327621;2503812214;-2454034056;19650160,77;16190351,79;1,88779E+16;3,5846E+16;1
35;108326,87;6,18862E+15;8908502976;6562291617;0;0;4252075877;0;7910210858;-4483554,27;43611209,54;27762519,32;2,04024E+16;3,76759E+16;1
36;6381545341;3444836479;0;9284646305;5513841069;2273711755;3657270318;1325238326;-8390453681;-2,21636E+16;23478390,1;41219868,26;0;0;1
37;1,52254E+16;26716450,79;0;2358086116;4807866369;3351968671;2,79239E+16;12801846,73;5500072624;0;127826803;584032710,6;29918717,54;35415197,19;1
38;1623087494;0;9673154439;3,19465E+16;-4495581196;0;2806441253;1276132335;12176468,66;-1,3348E+16;93947183,13;33681372,22;2455832901;6,6064E+15;1
39;1540789747;5800055415;3348538995;416547172;3689456,19;4,18318E+16;0;0;-14750568,43;-1227102165;2345522749;13864125,66;7049740069;1900446031;1
40;2109291976;21255275,99;19393360,37;0;-4375226522;0;4333676313;9,66283E+15;19666715,49;-6047980587;408645285,7;177643744,8;88849733,85;0;1
41;1495716504;10263712,45;3339525495;2335467406;6061448029;0;1,41642E+16;10661237,49;-8411531603;0;28785716,68;4408067869;0;12765246,07;1
42;3207801165;9124352431;2407723563;575984634;6,26817E+15;2141054584;2296140108;6159339321;-4227571214;3219476174;53660460,59;0;26878171,05;42358541,79;1
43;2042486611;1,51755E+16;5000280912;0;2539351965;3002541955;3132443973;0;-10101761,21;9620934619;39510421,8;31114821,02;13921922,18;26866860,53;1
44;4185801319;0;0;1,59548E+16;7055964997;2336638759;2817300039;1281395614;13219329,69;-4199132952;277787232,5;87067750,73;19136937,45;20346756,79;1
45;4751041931;0;3607021233;3,93132E+16;4,36368E+15;782680289;2,72259E+16;0;-1014287156;-9511333015;126426466,7;59072165,42;22893246,38;0;1
46;5645766242;24852451,04;0;1468341351;0;3918767045;0;3347873577;13752335,21;-6689238175;151538426,7;502901324,8;18025546,65;13528973,74;1
47;1243560074;7414540304;2,14322E+16;5017989532;0;0;1011564995;8890777454;7891550797;-4324234821;91707505,53;48109420,27;22312975,98;20361992,71;1
48;2915003,4;2777835248;9286356562;1003492729;-7681321837;3241710132;5106183891;4588227884;5566620556;-8583686963;0;37746632,01;0;0;1
49;7124844015;8463922942;2316947219;2,12851E+16;-1780099959;869741043;0;4423991,3;0;9765214523;144923108,8;7,01829E+16;15026498,4;14243499,55;1
50;5096438496;4264590395;0;5680528785;2016615399;1885278309;2267355069;3,96378E+16;5389734783;-1945060564;64049320,48;0;6367306555;0;1
51;2319500035;2030844667;5036794445;3729439784;-6388174379;1418816986;4381746545;1,3487E+16;10167200,53;0;0;2013202506;2,73298E+16;3,43752E+16;1
52;1766266927;0;6811176651;0;-4975220483;0;3,3316E+16;5591945498;13991627,52;-2,53462E+16;123442551,6;97607364,88;18367823,86;20111313,9;1
53;1019034014;64512418,19;3310127436;1,01076E+16;8603895926;0;0;1276265982;12361811,88;-8,24282E+15;245077589,1;211356776,6;11568319,16;10078578,06;1
54;3060425,57;23785778,3;1896766481;1637435148;-5208971494;1657540259;3922156267;8,77163E+15;0;-5112025848;276886255,7;746420794,8;33424275,37;47472525,12;1
